,EAN Code,Model,PVP,TVs
0,8806098382422.0,AN-MR19BA.AEU,24.76,True
1,8806098382422.0,AN-MR19BA.AEU,23.9,True
2,8806098382422.0,AN-MR19BA.AEU,23.9,True
3,8806098293957.0,24TL510S-PZ.AEU,169.11,True
4,8806098387885.0,50UM7600PLB.AEU,389.19,True
5,8806098424962.0,65SM9010PLA.AEU,944.64,True
6,8806098424962.0,65SM9010PLA.AEU,944.64,True
7,8806098385676.0,OLED55C9PLA.AEU,999.39,True
8,8806098293957.0,24TL510S-PZ.AEU,131.76,True
9,8806098385676.0,OLED55C9PLA.AEU,999.39,True
10,8806098382910.0,32LM630BPLA.AEU,193.07,True
11,8806098382910.0,32LM630BPLA.AEU,227.91,True
12,8806098386161.0,70UM7450PLA.AEU,700.07,True
13,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
14,8806098385676.0,OLED55C9PLA.AEU,1399.39,True
15,8806098383603.0,55SM8500PLA.AEU,599.34,True
16,8806098387854.0,49UM7400PLB.AEU,349.32,True
17,8806098387885.0,50UM7600PLB.AEU,389.19,True
18,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
19,8806098293957.0,24TL510S-PZ.AEU,136.99,True
20,8806098385881.0,OLED77W9PLA.AEU,7246.35,True
21,8806098385676.0,OLED55C9PLA.AEU,999.39,True
22,8806098387069.0,55UM7450PLA.AEU,489.58,True
23,8806098385676.0,OLED55C9PLA.AEU,999.39,True
24,8806098396535.0,55UM7100PLB.AEU,671.83,True
25,8806098382422.0,AN-MR19BA.AEU,23.9,True
26,8806098385676.0,OLED55C9PLA.AEU,1399.39,True
27,8806098387885.0,50UM7600PLB.AEU,389.19,True
28,8806098387885.0,50UM7600PLB.AEU,389.19,True
29,8806098385409.0,65SM8500PLA.AEU,739.31,True
30,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
31,8806098386468.0,65UM7400PLB.AEU,449.75,True
32,8806098387885.0,50UM7600PLB.AEU,788.19,True
33,8806087301618.0,27MP89HM-S.AEU,212.39,True
34,8806098387885.0,50UM7600PLB.AEU,389.19,True
35,8806098387885.0,50UM7600PLB.AEU,389.19,True
36,8806098387885.0,50UM7600PLB.AEU,389.19,True
37,8806098387885.0,50UM7600PLB.AEU,389.19,True
38,8806098408771.0,49SM8200PLA.AEU,541.23,True
39,8806098387854.0,49UM7400PLB.AEU,349.32,True
40,8806098386468.0,65UM7400PLB.AEU,449.75,True
41,8806098386468.0,65UM7400PLB.AEU,449.75,True
42,8806098385126.0,OLED65C9PLA.AEU,1749.85,True
43,8806098385126.0,OLED65C9PLA.AEU,1749.85,True
44,8806098386468.0,65UM7400PLB.AEU,449.75,True
45,8806098386468.0,65UM7400PLB.AEU,449.75,True
46,8806098385126.0,OLED65C9PLA.AEU,1749.85,True
47,8806098386468.0,65UM7400PLB.AEU,449.75,True
48,8806098386468.0,65UM7400PLB.AEU,449.75,True
49,8806098386468.0,65UM7400PLB.AEU,449.75,True
50,8806098386468.0,65UM7400PLB.AEU,449.75,True
51,8806098386468.0,65UM7400PLB.AEU,449.75,True
52,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
53,8806098386468.0,65UM7400PLB.AEU,449.75,True
54,8806098386468.0,65UM7400PLB.AEU,449.75,True
55,8806098387854.0,49UM7400PLB.AEU,349.32,True
56,8806098386468.0,65UM7400PLB.AEU,449.75,True
57,8806098387854.0,49UM7400PLB.AEU,349.32,True
58,8806098383603.0,55SM8500PLA.AEU,569.01,True
59,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
60,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
61,8806098385706.0,OLED55E9PLA.AEU,1399.93,True
62,8806098293957.0,24TL510S-PZ.AEU,136.99,True
63,8806098385706.0,OLED55E9PLA.AEU,1529.94,True
64,8806098293957.0,24TL510S-PZ.AEU,152.21,True
65,8806098387885.0,50UM7600PLB.AEU,404.26,True
66,8806098382422.0,AN-MR19BA.AEU,21.74,True
