day,PC LG,PC SS,Worten LG,Worten SS
1,971.0238461538461,1082.8877777777777,791.5016666666666,1347.1314285714286
2,970.3815384615384,1093.8925,794.2516666666666,1379.0928571428572
3,961.3909090909088,1292.2833333333333,805.7541666666666,1358.6642857142856
4,935.0489999999998,1291.171111111111,805.7541666666666,1358.0928571428572
5,946.6689999999999,1285.1466666666665,828.8299999999998,1345.1057142857142
6,955.7566666666667,1117.79,815.3299999999998,1345.1057142857142
7,930.2099999999999,1106.2944444444445,815.0799999999998,1345.1057142857142
8,973.1445454545453,1336.3942857142858,815.0799999999998,1345.1057142857142
9,894.4077777777777,1184.5922222222223,828.5799999999998,1345.1057142857142
10,823.8100000000001,1213.3766666666666,782.7616666666667,1255.9866666666667
11,828.8735714285714,1161.9389999999999,782.7616666666667,1255.9866666666667
12,948.1336363636364,1112.68,783.8449999999999,1175.83
13,888.7025,1127.0236363636366,798.0941666666666,1248.07125
14,856.9207142857142,1096.16,787.2608333333332,1110.7042857142858
15,944.2185714285714,1097.60125,787.2608333333332,1142.1283333333333
16,941.4292857142857,1053.3111111111111,787.2608333333333,1101.521
17,941.4292857142857,1002.1727272727275,811.9199999999997,1106.626
18,917.8842857142856,1032.4910000000002,811.9199999999997,1106.626
19,941.3035714285713,1032.4910000000002,820.8641666666664,1106.626
20,812.3014285714286,1018.673,820.3366666666665,1097.621
21,821.8042857142857,905.5333333333333,802.9199999999997,1094.421
22,714.0135714285714,888.1961111111111,788.7533333333331,1128.3250000000003
23,745.4428571428571,905.9077777777778,781.2533333333331,1128.3250000000003
24,768.0007142857143,905.9077777777777,820.4199999999997,1151.517
25,743.3792857142856,905.9077777777777,781.5866666666666,1137.799
