,Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,65NANO866NA,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99
1,65NANO866NA Reacondicionado,884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,1042.5,799.0,1042.5,1042.5,1042.5,1042.5,1042.5
2,"LG 60UN71003LB 60"" LED UltraHD 4K",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,538.99,799.0,824.5,771.415,799.0,799.0,799.0
3,"LG 60UN71006LB 60"" LED UltraHD 4K",589.0,589.0,589.0,579.0,579.0,579.0,579.0,579.0,579.0,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
4,"LG 60UN71006LB 60"" LED UltraHD 4K Reacondicionado",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,539.1,539.1,539.1,539.1
5,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR",831.59,831.59,766.11,766.11,761.92,761.92,766.11,1149.82,1149.82,1149.82,799.0,743.83,743.83,743.83,743.83,743.83,743.83
6,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979.0,979.0,999.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,987.2,986.69,809.01,799.0,799.0,799.0
7,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
8,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K",1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,766.11,850.0,864.88,841.23,1098.99,799.0,824.5,771.415,799.0,799.0,799.0
9,"LG 65NANO906NA 65"" LED IPS Nanocell UltraHD 4K",1304.0,1304.0,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
10,"LG 65SK8000PLB 65"" LED Nanocell UltraHD 4K Reacondicionado",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,882.0,842.95,842.95
11,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,1278.7,1278.7,1278.7,1278.7,850.0,850.0,850.0,850.0,850.0
12,"LG 65SM8200PLA 65"" LED UltraHD 4K",884.53,876.18,1194.81,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
13,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K",2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,864.88,841.23,799.0,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92
14,"LG 65SM9010PLA 65"" LED NanoCell UltraHD 4K",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,1354.72,1354.72,1354.72
15,"LG 65UK6300PLB 65"" LED UltraHD 4K",1138.48,1138.48,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
16,"LG 65UM7000PLA 65"" LED UltraHD 4K",701.82,701.82,676.99,676.99,676.99,676.99,676.99,676.99,701.82,701.82,799.0,701.82,676.99,676.99,799.0,799.0,799.0
17,"LG 65UM7050 65"" LED UltraHD 4K",579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,799.0,799.0,799.0
18,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,521.05,799.0,824.5,521.05,521.05,521.05,521.05
19,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,803.46,803.46,799.0,799.0,824.5,771.415,799.0,799.0,799.0
20,"LG 65UM7400PLB 65"" LED UltraHD 4K",693.99,693.99,693.99,693.99,693.99,693.99,693.99,693.99,693.99,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
21,"LG 65UM7510PLA 65"" LED UltraHD 4K",649.99,649.99,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
22,"LG 65UM7510PLA 65"" LED UltraHD 4K Reacondicionado",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,585.5,864.88,841.23,585.5,799.0,824.5,771.415,799.0,799.0,799.0
23,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K",884.53,876.18,859.48,859.48,864.88,761.92,864.88,864.88,864.88,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
24,"LG 65UN71003LB 65"" LED UltraHD 4K",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,599.0,599.0,599.0
25,"LG 65UN71006LB 65"" LED UltraHD 4K",884.53,876.18,639.0,639.0,639.0,639.0,639.0,639.0,864.88,841.23,639.0,639.0,639.0,639.0,639.0,639.0,639.0
26,"LG 65UN80003LA 65"" LED UltraHD 4K",884.53,876.18,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,649.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0
27,"LG 65UN80006LA 65"" LED UltraHD 4K",699.0,699.0,859.48,812.7950000000001,813.4,761.92,766.11,850.0,864.88,841.23,799.0,799.0,824.5,771.415,799.0,799.0,799.0
