Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
65NANO866NA,,,,,,,,1098.99,,,1098.99,,,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,,,,
65NANO866NA Reacondicionado,,,,,,,,,,,,,,,1042.5,1042.5,1042.5,1026.85,,,1026.85,945.75,945.75,945.75,
"LG 60UN71003LB 60"" LED UltraHD 4K",,,,,,,,,,,,,,,,,,,,,,538.99,,,
"LG 60UN71006LB 60"" LED UltraHD 4K",589.0,589.0,589.0,579.0,,,,,,,,,,,,,,,,,579.0,,,,
"LG 60UN71006LB 60"" LED UltraHD 4K Reacondicionado",,,,,,,,,,,,,,539.1,539.1,539.1,539.1,539.1,539.1,539.1,,,,,
"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR",831.59,831.59,766.11,766.11,761.92,761.92,766.11,1149.82,1149.82,1149.82,,743.83,743.83,743.83,743.83,743.83,743.83,743.83,743.83,743.83,743.83,,,,
"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979.0,979.0,999.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,987.2,986.69,809.01,799.0,799.0,799.0,799.0,799.0,799.0,,,,,
"LG 65NANO813NA 65"" LED IPS Nanocell UltraHD 4K",,,,,,,,,,,,,,,,,,,,,,,979.0,979.0,979.0
"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,,,,
"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K",1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,,,,,1098.99,,,,,,,,,,,,,,
"LG 65NANO866NA 65"" Nanocell UltraHD",,,,,,,,,,,,,,,,,,,,,,,,975.01,
"LG 65NANO866NA 65"" Nanocell UltraHD Reacondicionado",,,,,,,,,,,,,,,,,,,,,,,,,926.85
"LG 65NANO906NA 65"" LED IPS Nanocell UltraHD 4K",1304.0,1304.0,,,,,,,,,,,,,,,,,,,,,,,
"LG 65SK8000PLB 65"" LED Nanocell UltraHD 4K Reacondicionado",,,,,,,,,,,,,,,882.0,842.95,842.95,842.95,842.95,842.95,842.95,826.1,826.1,826.1,826.1
"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",,,,,,,,850.0,1278.7,,1278.7,1278.7,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,834.99,899.01,899.01,899.01,899.01
"LG 65SM8200PLA 65"" LED UltraHD 4K",,,1194.81,,,,,,,,799.0,,,,,,,,,1054.16,1053.18,,,,
"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K",2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,,,,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,2173.92,,,,,,
"LG 65SM9010PLA 65"" LED NanoCell UltraHD 4K",,,,,,,,,,,,,,,1354.72,1354.72,1354.72,,1354.72,,,,,,
"LG 65UK6300PLB 65"" LED UltraHD 4K",1138.48,1138.48,,,,,,,,,,,,,,,,,,,,,,,
