,Unnamed: 0,Model,Price,day
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,1
1,1,"LG 65UM7450PLA 65"" LED UltraHD 4K",599-619,1
2,2,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","599-899,01",1
3,3,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",1
4,4,"LG 65UN71006LB 65"" LED UltraHD 4K",639,1
5,5,"LG 65UN74006LB 65"" LED UltraHD 4K",749-799,1
6,6,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",1
7,7,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,1
8,8,"LG 60UN71003LB 60"" LED UltraHD 4K","538,99",1
9,9,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,1
10,10,"LG 65UN80006LA 65"" LED UltraHD 4K",699,1
11,11,65NANO866NA,"1098,99",1
12,12,"LG 60UN71006LB 60"" LED UltraHD 4K",589,1
13,13,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",1
14,14,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,1
15,15,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K","1098,99",1
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","831,59",1
17,17,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,1
18,18,"LG 65NANO906NA 65"" LED IPS Nanocell UltraHD 4K",1304,1
19,19,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",1
20,20,"LG 65UK6300PLB 65"" LED UltraHD 4K","1138,48",1
21,21,"LG 65UM7000PLA 65"" LED UltraHD 4K","701,82",1
22,22,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","884,53",1
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,2
1,1,"LG 65UM7450PLA 65"" LED UltraHD 4K",599-619,2
2,2,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","610,55",2
3,3,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",2
4,4,"LG 65UN71006LB 65"" LED UltraHD 4K",639,2
5,5,"LG 65UN74006LB 65"" LED UltraHD 4K",749-799,2
6,6,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",2
7,7,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,2
8,8,"LG 60UN71003LB 60"" LED UltraHD 4K","538,99",2
9,9,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,2
10,10,"LG 65UN80006LA 65"" LED UltraHD 4K",699,2
11,11,65NANO866NA,"1098,99",2
12,12,"LG 60UN71006LB 60"" LED UltraHD 4K",589,2
13,13,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",2
14,14,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,2
15,15,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K","1098,99",2
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","831,59",2
17,17,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,2
18,18,"LG 65NANO906NA 65"" LED IPS Nanocell UltraHD 4K",1304,2
19,19,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",2
20,20,"LG 65UK6300PLB 65"" LED UltraHD 4K","1138,48",2
21,21,"LG 65UM7000PLA 65"" LED UltraHD 4K","701,82",2
22,22,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","876,18",2
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,3
1,1,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","614,71",3
2,2,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",3
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,3
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",749-799,3
5,5,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",3
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",829-929,3
7,7,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,3
8,8,65NANO866NA Reacondicionado,"1058,40",3
9,9,"LG 65UN80006LA 65"" LED UltraHD 4K",699,3
10,10,65NANO866NA,"1098,99",3
11,11,"LG 65UM7400PLB 65"" LED UltraHD 4K","693,99",3
12,12,"LG 60UN71006LB 60"" LED UltraHD 4K",589,3
13,13,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,3
14,14,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K","1098,99",3
15,15,"LG 65SM8200PLA 65"" LED UltraHD 4K","1194,81",3
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","766,11",3
