,Model,Price
0,"LG 65UN71003LB 65"" LED UltraHD 4K",599€
1,"LG 65UM7050 65"" LED UltraHD 4K",579€
2,"LG 65UM7510PLA 65"" LED UltraHD 4K","629,99€"
3,"LG 65UN71006LB 65"" LED UltraHD 4K",639€
4,"LG 65UN74006LB 65"" LED UltraHD 4K",699€799€
5,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99€"
6,"LG 65UN80006LA 65"" LED UltraHD 4K",699€
7,"LG 65UN73006LA 65"" LED UltraHD 4K","679€749,99€"
8,"LG 60UN71006LB 60"" LED UltraHD 4K",579€
9,"Philips 65PUS8535 65"" LED UltraHD 4K",819€859€
10,"LG 65UN80003LA 65"" LED UltraHD 4K",649€
11,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado","521,05€"
12,65NANO866NA Reacondicionado,"1042,50€"
13,"LG 60UN71006LB 60"" LED UltraHD 4K Reacondicionado","539,10€"
14,"LG 65UN85003LA 65"" LED UltraHD 4K",799€
15,65NANO866NA,"1098,99€"
16,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999€
17,"LG 65UM7400PLB 65"" LED UltraHD 4K",699€
18,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850€
19,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",799€
20,"LG 65SK8000PLB 65"" LED Nanocell UltraHD 4K Reacondicionado",882€
21,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","743,83€"
22,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92€"
23,"LG 65SM9010PLA 65"" LED NanoCell UltraHD 4K","1354,72€"
