,Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,65NANO866NA,858.06,876.18,929.24,859.48,864.88,801.55,816.94,1098.99,834.1700000000001,803.46,1098.99,800.275,801.55,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,673.995,729.4300000000001,764.4300000000001,729.4300000000001
1,65NANO866NA Reacondicionado,858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,1042.5,1042.5,1042.5,1026.85,800.275,799.0,1026.85,945.75,945.75,945.75,729.4300000000001
2,"LG 60UN71003LB 60"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,538.99,729.4300000000001,764.4300000000001,729.4300000000001
3,"LG 60UN71006LB 60"" LED UltraHD 4K",589.0,589.0,589.0,579.0,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,579.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
4,"LG 60UN71006LB 60"" LED UltraHD 4K Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,539.1,539.1,539.1,539.1,539.1,539.1,539.1,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
5,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR",831.59,831.59,766.11,766.11,761.92,761.92,766.11,1149.82,1149.82,1149.82,800.275,743.83,743.83,743.83,743.83,743.83,743.83,743.83,743.83,743.83,743.83,673.995,729.4300000000001,764.4300000000001,729.4300000000001
6,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979.0,979.0,999.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,979.0,987.2,986.69,809.01,799.0,799.0,799.0,799.0,799.0,799.0,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
7,"LG 65NANO813NA 65"" LED IPS Nanocell UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,979.0,979.0,979.0
8,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
9,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K",1098.99,1098.99,1098.99,1098.99,1098.99,1098.99,816.94,989.0,834.1700000000001,803.46,1098.99,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
10,"LG 65NANO866NA 65"" Nanocell UltraHD",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,729.4300000000001,975.01,729.4300000000001
11,"LG 65NANO866NA 65"" Nanocell UltraHD Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,729.4300000000001,764.4300000000001,926.85
12,"LG 65NANO906NA 65"" LED IPS Nanocell UltraHD 4K",1304.0,1304.0,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
13,"LG 65SK8000PLB 65"" LED Nanocell UltraHD 4K Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,882.0,842.95,842.95,842.95,842.95,842.95,842.95,826.1,826.1,826.1,826.1
14,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,850.0,1278.7,803.46,1278.7,1278.7,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,834.99,899.01,899.01,899.01,899.01
15,"LG 65SM8200PLA 65"" LED UltraHD 4K",858.06,876.18,1194.81,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,799.0,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,1054.16,1053.18,673.995,729.4300000000001,764.4300000000001,729.4300000000001
