Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Samsung 65RU7400 65"" LED UltraHD 4K HDR10+",,,,,,,,,,,,,,,,,,,,,829.0,829.0,829.0,829.0,829.0
"Samsung LH65QMREBGC 65"" Pantalla Profesional LED UltraHD 4K",1355.63,1355.63,1425.22,1415.21,1420.99,1419.99,1417.99,1419.99,1419.0,1414.98,1414.99,1410.93,1415.21,1403.68,1415.21,1415.21,1285.93,1285.93,1285.93,1285.93,1285.93,1285.93,1285.93,1285.93,1285.93
"Samsung QE65Q64R 65"" LED UltraHD 4K",1806.68,1806.68,1843.99,1843.99,1843.99,1843.99,1843.99,1843.99,1843.99,1834.68,1834.68,1843.99,1843.99,,,,,,,,998.99,998.99,998.99,998.99,998.99
"Samsung QE65Q80TAT 65"" QLED UltraHD 4K",2114.85,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,,,,,,,,,,,,,,,,,
"Samsung QE65Q80TAT 65"" QLED UltraHD 4K Reacondicionado",,,,,,,,1483.1,,,,,,,,,,,,,,,,,
"Samsung UE65MU7055 65"" LED UltraHD 4K",,,,,,,,,,,,,,,,,,,,,1348.99,1348.99,1348.99,1348.99,1348.99
"Samsung UE65NU7025 65"" LED UltraHD 4K",1091.28,1091.28,1113.79,1113.79,1113.79,1113.79,1113.79,1113.79,1113.79,1108.19,1108.19,1113.79,1102.57,1102.57,1102.57,1102.57,1102.57,1102.57,1102.57,1113.79,1113.79,1113.79,1113.79,1113.79,1113.79
"Samsung UE65NU7092 65"" LED UltraHD 4K",,,,,,,698.99,,,,698.99,,,,,698.99,698.99,,,,,,,,
"Samsung UE65NU7505 65"" LED UltraHD 4K",,,2750.0,2750.0,2750.0,,,,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0
"Samsung UE65RU6025 65"" LED UltraHD 4K",,,,,,,,,,,,,,,,,,,,,649.0,649.0,649.0,649.0,649.0
"Samsung UE65RU7025 65"" LED Ultra HD 4K",801.55,801.55,801.55,801.55,801.55,801.55,,,801.55,801.55,801.55,801.55,801.55,,,,801.55,801.55,801.55,801.55,801.55,569.0,569.0,569.0,569.0
"Samsung UE65RU7025 65"" LED Ultra HD 4K Reacondicionado",,,,,,,,,,,,,,,,,,,,,529.8,529.8,529.8,529.8,529.8
"Samsung UE65RU7105KXXC 65"" LED UltraHD 4K",619.0,619.0,619.0,619.0,619.0,619.0,968.89,968.89,619.0,963.99,963.99,811.25,811.25,,,,,,,,,,968.89,968.89,968.89
"Samsung UE65RU7305 65"" LED UltraHD 4K Curvo",739.0,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung UE65RU7405UXXC 65"" LED UltraHD 4K",,,,,,,,,,,,,,,,,,,,,629.99,629.99,629.99,629.99,629.99
"Samsung UE65TU7005KXXC 65"" LED UltraHD 4K",,,,,,,,,,,,761.97,746.69,767.03,767.03,767.03,759.86,759.86,759.86,759.86,759.86,759.86,759.86,759.86,759.86
"Samsung UE65TU7072 65"" LED UltraHD 4K",599.0,,,,599.0,,,,,,,,,,,,,,,,,650.08,,,
"Samsung UE65TU7105 65"" LED UltraHD 4K",,659.0,659.0,659.0,,726.0,726.0,726.0,726.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0
"Samsung UE65TU7105 65"" LED UltraHD 4K Reacondicionado",,,,,,,,,,,,,,,,,,,,,598.7,598.7,598.7,598.7,598.7
"Samsung UE65TU7172 65"" LED UltraHD 4K",619.0,619.0,619.0,619.0,619.0,619.0,619.0,,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0
"Samsung UE65TU7172 65"" LED UltraHD 4K Reacondicionado",,,,,,,,,,,,,,,,,,,,,528.4,528.4,528.4,528.4,528.4
"Samsung UE65TU8005 65"" LED UltraHD 4K",,,,,,,769.0,,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0
"Samsung UE65TU8005 65"" LED UltraHD 4K Reacondicionado",,,,,,,,,,,,,,,,,,,,729.6,729.6,,,,
"Samsung UE65TU8072U 65"" LED UltraHD 4K",,,,,,,,,,,,699.0,,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
"Samsung UE65TU8505 65"" LED UltraHD 4K",,,,,,,,,,,,,879.0,,,,879.0,879.0,879.0,,,,,,
