Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
TV LG 60UK6200PLA (Caja Abierta - LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97
TV LG 60UK6200PLA (LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94
TV LG 60UM7100PLB (LED - 60'' - 152 cm -  4K Ultra HD - Smart TV),1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93
TV LG 60UN71006 (LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),599.99,599.99,552.0,552.0,552.0,552.0,552.0,552.0,552.0,549.99,549.99,549.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,599.99,489.99,489.99,569.99,599.99,489.99
TV LG 65UK6400 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55
TV LG 65UM7050P (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9
TV LG 65UM7510PLA (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),599.97,599.97,899.99,899.99,899.99,737.99,737.99,737.99,899.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,559.99,899.99,737.99
TV LG 65UN73006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),797.9,797.9,797.9,797.9,788.9,788.9,785.9,785.9,785.9,699.99,699.99,699.99,689.99,679.99,679.99,679.99,679.99,679.99,787.32,785.9,785.9,785.9,785.9,785.9,785.9
TV LG 65UN80006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.0,699.0,699.0,699.99,699.99,699.99,699.99,699.99,699.99,699.99,779.99,699.99,691.99,699.99,679.99,679.99
TV LG 65UN81006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),743.99,743.99,669.99,669.99,955.9,955.9,955.9,955.9,955.9,649.99,649.99,649.99,779.99,659.99,659.99,659.99,955.9,955.9,955.9,810.99,810.99,659.99,659.99,849.99,655.99
TV LG 65UN85006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),806.99,839.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,806.99,806.99,819.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,879.99,860.99,849.99,849.99,779.99,779.99
TV  LG 65UM7610 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9
