,Model,Price
0,TV LG 60UN71006 (LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),"569,99€"
1,TV LG 65UN81006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"955,90€"
2,TV LG 65UM7510PLA (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"737,99€"
3,TV LG 60UM7100PLB (LED - 60'' - 152 cm -  4K Ultra HD - Smart TV),"1442,93€"
4,TV LG 65UN80006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"699,99€"
5,TV LG 65UM7050P (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"645,90€"
6,TV LG 65UN73006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"679,99€"
7,TV  LG 65UM7610 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"797,90€"
8,TV LG 60UK6200PLA (LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),"669,94€"
9,TV LG 65UK6400 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"1052,55€"
10,TV LG 65UN85006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),"849,99€"
11,TV LG 60UK6200PLA (Caja Abierta - LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),"639,97€"
