,Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,TV LG 60UK6200PLA (Caja Abierta - LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97,639.97
1,TV LG 60UK6200PLA (LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94,669.94
2,TV LG 60UM7100PLB (LED - 60'' - 152 cm -  4K Ultra HD - Smart TV),1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93,1442.93
3,TV LG 60UN71006 (LED - 60'' - 152 cm - 4K Ultra HD - Smart TV),599.99,599.99,552.0,552.0,552.0,552.0,552.0,552.0,552.0,549.99,549.99,549.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,599.99,489.99,489.99,569.99,599.99,489.99
4,TV LG 65UK6400 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55,1052.55
5,TV LG 65UM7050P (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9,645.9
6,TV LG 65UM7510PLA (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),599.97,599.97,899.99,899.99,899.99,737.99,737.99,737.99,899.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,737.99,559.99,899.99,737.99
7,TV LG 65UN73006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),797.9,797.9,797.9,797.9,788.9,788.9,785.9,785.9,785.9,699.99,699.99,699.99,689.99,679.99,679.99,679.99,679.99,679.99,787.32,785.9,785.9,785.9,785.9,785.9,785.9
8,TV LG 65UN80006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.0,699.0,699.0,699.99,699.99,699.99,699.99,699.99,699.99,699.99,779.99,699.99,691.99,699.99,679.99,679.99
9,TV LG 65UN81006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),743.99,743.99,669.99,669.99,955.9,955.9,955.9,955.9,955.9,649.99,649.99,649.99,779.99,659.99,659.99,659.99,955.9,955.9,955.9,810.99,810.99,659.99,659.99,849.99,655.99
10,TV LG 65UN85006 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),806.99,839.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,806.99,806.99,819.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,879.99,860.99,849.99,849.99,779.99,779.99
11,TV  LG 65UM7610 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9,797.9
0,TV SAMSUNG HG65EE890WB (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2461.9,2800.94,2800.94,2800.94,2800.94
1,TV SAMSUNG UE65HU8500 (Caja Abierta - LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),797.9,797.9,797.9,797.9,799.99,797.9,797.9,797.9,799.99,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07,944.07
2,TV SAMSUNG UE65NU7105KXXC (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,2260.0,773.9449999999999,773.9449999999999,1223.89,1211.39,1211.39,1211.39,1211.39,1211.39,1211.39,1211.39,1211.39,1211.39
3,TV SAMSUNG UE65RU7105K (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,822.59,800.68,800.68,822.59,822.59,906.54,906.54,906.54,949.29,949.29,949.29,949.29,949.29,949.29
4,TV SAMSUNG UE65RU7405KXXC (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),921.14,963.87,963.87,963.87,963.87,963.87,963.87,963.87,963.87,963.87,963.87,963.87,963.87,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23,1014.23
5,TV SAMSUNG UE65RU7475KXXC (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),797.9,797.9,797.9,797.9,799.99,797.9,797.9,797.9,799.99,773.9449999999999,773.9449999999999,773.9449999999999,797.9,773.9449999999999,773.9449999999999,1102.59,1091.29,1091.29,1091.29,1091.29,1091.29,1091.29,1091.29,1091.29,1091.29
6,TV SAMSUNG UE65TU7125K (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),711.99,829.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,575.99,797.9,773.9449999999999,773.9449999999999,891.89,882.79,882.79,882.79,699.99,699.99,699.99,699.99,829.99,699.99
7,TV SAMSUNG UE65TU8005 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),699.99,762.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,759.99,759.99,759.99,759.99,879.91,872.73
8,TV SAMSUNG UE65TU8505U (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),954.9,954.9,954.9,950.9,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,859.99,899.99,867.99,867.99,867.99,849.99,849.99
