day,Worten LG,Worten SS
1,791.5016666666666,1347.1314285714286
2,794.2516666666666,1379.0928571428572
3,805.7541666666666,1358.6642857142856
4,805.7541666666666,1358.0928571428572
5,828.8299999999998,1345.1057142857142
6,815.3299999999998,1345.1057142857142
7,815.0799999999998,1345.1057142857142
8,815.0799999999998,1345.1057142857142
9,828.5799999999998,1345.1057142857142
10,782.7616666666667,1255.9866666666667
11,782.7616666666667,1255.9866666666667
12,783.8449999999999,1175.83
13,798.0941666666666,1248.07125
14,787.2608333333332,1110.7042857142858
15,787.2608333333332,1142.1283333333333
16,787.2608333333333,1101.521
17,811.9199999999997,1106.626
18,811.9199999999997,1106.626
19,820.8641666666664,1106.626
20,820.3366666666665,1097.621
21,802.9199999999997,1094.421
22,788.7533333333331,1128.3250000000003
23,781.2533333333331,1128.3250000000003
24,820.4199999999997,1151.517
25,781.5866666666666,1137.799
